episode_id,sequence,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,accepted_utc,duration_s,frames_processed,primary_threshold,collection_threshold,autonomous_lock_class,autonomous_lock_strategy,autonomous_lock_confidence,autonomous_lock_latency_s,autonomous_correct_class,autonomous_correct_strategy,target_assisted_lock_found,target_assisted_lock_latency_s,target_assisted_lock_confidence,no_detection_at_primary_threshold,unknown_dangerous_mapped_lock,video_file,detections_file
OCC_BANANA_R02,46,occlusion50,banana,banana,soft,A,2,,2026-09-05T09:25:18.366251+00:00,10.050534,148,0.25,0.05,banana,soft,0.446082,0.264414,1,1,1,0.264414,0.446082,0,0,videos/OCC_BANANA_R02.mp4,detections/OCC_BANANA_R02.jsonl
OCC_BANANA_R05,48,occlusion50,banana,banana,soft,A,5,,2026-09-05T09:26:11.803354+00:00,10.050306,150,0.25,0.05,banana,soft,0.501354,2.380251,1,1,1,2.380251,0.501354,0,0,videos/OCC_BANANA_R05.mp4,detections/OCC_BANANA_R05.jsonl
OCC_BANANA_R04,52,occlusion50,banana,banana,soft,A,4,,2026-09-05T09:27:03.240253+00:00,10.049674,150,0.25,0.05,banana,soft,0.28873,2.57483,1,1,1,2.57483,0.28873,0,0,videos/OCC_BANANA_R04.mp4,detections/OCC_BANANA_R04.jsonl
OCC_BANANA_R03,55,occlusion50,banana,banana,soft,A,3,,2026-09-05T09:30:14.050150+00:00,10.052787,150,0.25,0.05,banana,soft,0.839181,0.10966,1,1,1,0.10966,0.839181,0,0,videos/OCC_BANANA_R03.mp4,detections/OCC_BANANA_R03.jsonl
OCC_BANANA_R01,60,occlusion50,banana,banana,soft,A,1,,2026-09-05T09:30:43.536000+00:00,10.050068,150,0.25,0.05,banana,soft,0.290716,0.236464,1,1,1,0.236464,0.290716,0,0,videos/OCC_BANANA_R01.mp4,detections/OCC_BANANA_R01.jsonl
OCC_BOTTLE_R03,47,occlusion50,bottle,bottle,medium,A,3,,2026-09-05T09:31:58.925790+00:00,10.051131,150,0.25,0.05,bottle,medium,0.85754,0.12019,1,1,1,0.12019,0.85754,0,0,videos/OCC_BOTTLE_R03.mp4,detections/OCC_BOTTLE_R03.jsonl
OCC_BOTTLE_R01,49,occlusion50,bottle,bottle,medium,A,1,,2026-09-05T09:32:32.217131+00:00,10.051475,150,0.25,0.05,bottle,medium,0.86547,0.118115,1,1,1,0.118115,0.86547,0,0,videos/OCC_BOTTLE_R01.mp4,detections/OCC_BOTTLE_R01.jsonl
OCC_BOTTLE_R05,54,occlusion50,bottle,bottle,medium,A,5,,2026-09-05T09:33:04.841448+00:00,10.051466,150,0.25,0.05,bottle,medium,0.836722,0.116272,1,1,1,0.116272,0.836722,0,0,videos/OCC_BOTTLE_R05.mp4,detections/OCC_BOTTLE_R05.jsonl
OCC_BOTTLE_R04,58,occlusion50,bottle,bottle,medium,A,4,,2026-09-05T09:33:46.464818+00:00,10.044303,150,0.25,0.05,bottle,medium,0.876716,0.116333,1,1,1,0.116333,0.876716,0,0,videos/OCC_BOTTLE_R04.mp4,detections/OCC_BOTTLE_R04.jsonl
OCC_BOTTLE_R02,59,occlusion50,bottle,bottle,medium,A,2,,2026-09-05T09:34:36.643030+00:00,10.05203,150,0.25,0.05,bottle,medium,0.877696,0.108489,1,1,1,0.108489,0.877696,0,0,videos/OCC_BOTTLE_R02.mp4,detections/OCC_BOTTLE_R02.jsonl
OCC_SCISSORS_R01,51,occlusion50,scissors,scissors,hard,A,1,,2026-09-05T09:41:20.791912+00:00,10.060743,150,0.25,0.05,scissors,hard,0.871059,0.128405,1,1,1,0.128405,0.871059,0,0,videos/OCC_SCISSORS_R01.mp4,detections/OCC_SCISSORS_R01.jsonl
OCC_SCISSORS_R04,53,occlusion50,scissors,scissors,hard,A,4,,2026-09-05T09:42:10.947966+00:00,10.050314,76,0.25,0.05,scissors,hard,0.646242,0.622644,1,1,1,0.622644,0.646242,0,0,videos/OCC_SCISSORS_R04.mp4,detections/OCC_SCISSORS_R04.jsonl
OCC_SCISSORS_R02,56,occlusion50,scissors,scissors,hard,A,2,,2026-09-05T09:43:36.875993+00:00,10.051174,150,0.25,0.05,scissors,hard,0.880606,0.114933,1,1,1,0.114933,0.880606,0,0,videos/OCC_SCISSORS_R02.mp4,detections/OCC_SCISSORS_R02.jsonl
OCC_SCISSORS_R03,57,occlusion50,scissors,scissors,hard,A,3,,2026-09-05T09:44:33.581430+00:00,10.051229,150,0.25,0.05,scissors,hard,0.699237,0.122483,1,1,1,0.122483,0.699237,0,0,videos/OCC_SCISSORS_R03.mp4,detections/OCC_SCISSORS_R03.jsonl
